day,cleared,lost,dctested,tested,positives
2020-03-07,NA,NA,NA,NA,2
2020-03-08,NA,NA,NA,NA,2
2020-03-09,NA,NA,NA,NA,4
2020-03-10,NA,NA,NA,NA,4
2020-03-11,NA,NA,NA,NA,10
2020-03-12,NA,NA,NA,NA,10
2020-03-13,NA,0,NA,69,10
2020-03-14,NA,0,NA,115,16
2020-03-15,NA,0,NA,120,17
2020-03-16,NA,0,NA,126,22
2020-03-17,NA,0,NA,170,31
2020-03-18,NA,0,NA,203,39
2020-03-19,NA,0,NA,573,71
2020-03-20,NA,1,NA,NA,77
2020-03-21,NA,1,NA,1055,98
2020-03-22,NA,2,NA,1229,116
2020-03-23,17,2,NA,1334,137
2020-03-24,17,2,NA,1609,183
2020-03-25,21,3,NA,1858,231
2020-03-26,49,3,NA,2166,267
2020-03-27,51,4,NA,2516,304
2020-03-28,66,5,NA,2812,342
2020-03-29,106,9,NA,3085,401
2020-03-30,121,9,NA,3759,495
2020-03-31,142,11,NA,4398,586
2020-04-01,173,12,NA,5070,653
2020-04-02,206,15,NA,5584,757
2020-04-03,235,21,NA,6438,902
2020-04-04,258,22,NA,6834,998
2020-04-05,287,24,NA,7453,1097
2020-04-06,318,22,NA,7823,1211
2020-04-07,361,27,NA,8283,1440
2020-04-08,393,32,NA,8724,1523
2020-04-09,426,38,NA,9355,1660
2020-04-10,447,47,NA,10039,1778
2020-04-11,493,50,NA,10640,1875
2020-04-12,507,52,NA,10934,1955
2020-04-13,518,67,NA,11284,2058
2020-04-14,530,72,NA,11525,2197
2020-04-15,552,81,NA,12150,2350
2020-04-16,573,86,NA,12646,2476
2020-04-17,608,91,NA,13268,2666
2020-04-18,622,96,NA,13699,2793
2020-04-19,630,105,NA,14113,2927
2020-04-20,636,112,NA,14939,3098
2020-04-21,645,127,NA,15502,3206
2020-04-22,648,139,NA,15930,3361
2020-04-23,651,153,NA,16533,3528
2020-04-24,652,165,NA,17302,3699
2020-04-25,657,178,NA,18068,3841
2020-04-26,659,185,NA,18416,3892
2020-04-27,660,190,NA,18885,3994
2020-04-28,660,205,NA,19229,4106
2020-04-29,660,224,NA,20079,4323
2020-04-30,666,231,NA,21135,4658
2020-05-01,666,240,NA,22004,4797
2020-05-02,666,251,NA,23102,5016
2020-05-03,666,258,NA,23795,5170
2020-05-04,667,264,NA,24329,5322
2020-05-05,808,277,NA,24984,5461
2020-05-06,825,285,NA,25856,5654
2020-05-07,825,304,NA,27115,5899
2020-05-08,879,311,NA,28183,6102
2020-05-09,880,323,NA,29570,6272
2020-05-10,881,328,NA,30261,6389
2020-05-11,886,336,NA,31050,6485
2020-05-12,934,350,NA,31658,6584
2020-05-13,966,358,NA,32999,6736
2020-05-14,975,368,NA,34339,6871
2020-05-15,998,375,NA,35532,7042
2020-05-16,1023,383,NA,36526,7123
2020-05-17,1028,392,NA,37825,7270
2020-05-18,1040,400,NA,39374,7434
2020-05-19,1059,407,NA,40419,7551
2020-05-20,1061,412,NA,41756,7788
2020-05-21,1069,418,NA,42993,7893
2020-05-22,1075,427,32735,38928,7966
2020-05-23,1080,432,33576,40003,8110
2020-05-24,1080,440,34194,40803,8225
2020-05-25,1080,440,35262,42055,8334
2020-05-26,1082,445,35682,42697,8406
2020-05-27,1082,453,36284,43514,8492
2020-05-28,1089,460,36511,43858,8538
2020-05-29,1100,462,37881,45629,8717
2020-05-30,1116,466,38413,46483,8801
2020-05-31,1126,468,38975,47263,8857
2020-06-01,1137,470,39251,47701,8886
2020-06-02,1138,473,40751,49562,9016
2020-06-03,1138,475,41571,51096,9120
2020-06-04,1138,479,41800,51861,9199
2020-06-05,1138,483,43528,53678,9269
2020-06-06,1143,489,44485,54547,9332
2020-06-07,1143,491,45362,55766,9389
2020-06-08,1143,495,46413,57152,9474
2020-06-09,1143,499,47148,58192,9537
2020-06-10,1143,502,47796,59288,9589
2020-06-11,1143,506,48702,61953,9654
2020-06-12,1143,511,50032,63036,9709
2020-06-13,1150,515,51360,64530,9767
2020-06-14,1150,515,52448,65846,9799
2020-06-15,1155,520,53458,67126,9818
2020-06-16,1155,523,56073,70086,9847
2020-06-17,1155,527,57867,72199,9903
2020-06-18,1162,530,59072,73791,9952
2020-06-19,1166,531,60752,77953,9984
2020-06-20,1172,533,62087,79522,10020
2020-06-21,1182,535,64071,82004,10058
2020-06-22,1182,537,65073,82302,10094
2020-06-23,1182,541,65726,84173,10128
2020-06-24,1182,543,67594,86731,10159
2020-06-25,1186,546,68668,88123,10185
2020-06-26,1194,548,69699,89271,10216
2020-06-27,1199,550,72783,93132,10248
2020-06-28,1200,551,74575,95360,10292
2020-06-29,1270,551,76112,97295,10327
2020-06-30,1451,553,77908,100035,10365
2020-07-01,1465,554,78600,101063,10390
2020-07-02,1497,555,79967,102809,10435
2020-07-03,1523,557,81330,104554,10447
2020-07-04,1542,559,82375,105993,10482
2020-07-05,1553,561,83332,107650,10515
2020-07-06,1574,561,85157,110377,10569
2020-07-07,1625,564,87086,114289,10642
2020-07-08,1662,568,88060,115923,10679
2020-07-09,1703,568,91143,120884,10743
